Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
Rodic Consultant...,4.3,(463 Reviews),Private,"Delhi/NCR,Delhi + 80 more",23 years old,501-1k Employees (India)
United Spirits,4.1,(463 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 88 more",26 years old,1k-5k Employees (India)
Volvo,4.1,(3.5k Reviews),Private,"Gothenburg,Gothenburg + 34 more",25 years old,1k-5k Employees (India)
Kohler,3.8,(494 Reviews),Private,"Kohler,Wisconsin + 27 more",150 years old,1k-5k Employees (India)
Vakrangee,3.7,(462 Reviews),Public,"Mumbai,Maharashtra + 76 more",33 years old,1k-5k Employees (India)
Shalby Hospitals,4.5,(484 Reviews),Public,"Ahmedabad,Gujarat + 15 more",29 years old,1k-5k Employees (India)
Tanishq,4.2,(461 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 116 more",29 years old,1 Lakh+ Employees (India)
National Health ...,3.7,(461 Reviews),Private,"Guwahati,Assam + 164 more",18 years old,1 Lakh+ Employees (India)
Aspire Systems,4.0,(461 Reviews),Private,Oak Brook + 9 more,27 years old,1k-5k Employees (India)
Rupeek,3.8,(461 Reviews),Private,"Bangalore,Karnataka + 44 more",8 years old,1k-5k Employees (India)
Sadbhav Engineer...,4.2,(484 Reviews),Public,"Ahmedabad,Gujarat + 60 more",35 years old,1k-5k Employees (India)
Transsion,4.3,(460 Reviews),Public,Shenzhen + 51 more,17 years old,501-1k Employees (India)
Tata Starbucks,4.4,(460 Reviews),JV,Seattle + 27 more,52 years old,1k-5k Employees (India)
ICCS,3.2,(460 Reviews),Private,"Delhi/NCR,Delhi + 17 more",18 years old,501-1k Employees (India)
Reliance AJIO,3.9,(460 Reviews),Bengaluru + 133 more,7 years old,1k-5k Employees (India),
Bluestream Softw...,4.7,(460 Reviews),Private,"New Delhi,Delhi + 7 more",1k-5k Employees (India),
Caparo Engineeri...,3.7,(459 Reviews),"Gurgaon/Gurugram,Haryana + 32 more",55 years old,51-200 Employees (India),
Orchids Internat...,3.0,(459 Reviews),Private,"Nasik/Nashik,Maharashtra + 19 more",19 years old,1k-5k Employees (India)
Chennai Radha En...,3.9,(459 Reviews),Private,"Chennai,Tamil Nadu + 32 more",18 years old,5k-10k Employees (India)
Wheels,4.1,(459 Reviews),Public,"Chennai,Tamil Nadu + 22 more",61 years old,1k-5k Employees (India)
Finolex Cables,3.8,(461 Reviews),Public,Pune + 55 more,67 years old,5k-10k Employees (India)
Arohan Financial...,4.0,(458 Reviews),Private,"Kolkata,West Bengal + 110 more",17 years old,5k-10k Employees (India)
Kutumbh Care,4.0,(458 Reviews),Private,"Noida,Uttar Pradesh + 122 more",16 years old,5k-10k Employees (India)
Redington,4.1,(458 Reviews),Public,"Dubai,Dubai + 44 more",24 years old,1k-5k Employees (India)
Grant Thornton,3.9,(458 Reviews),Private,"Chicago,Illinois + 31 more",99 years old,5k-10k Employees (India)
Hitachi Astemo,4.1,(458 Reviews),Neemrana + 19 more,1k-5k Employees (India),,
Leadec,3.8,(457 Reviews),Private,Stuttgart + 37 more,61 years old,501-1k Employees (India)
IMPACT Infotech,3.7,(457 Reviews),Private,"Pune,Maharashtra + 46 more",29 years old,501-1k Employees (India)
Denave,4.1,(457 Reviews),Private,"Noida,Uttar Pradesh + 50 more",24 years old,501-1k Employees (India)
Rashmi Metaliks,3.7,(457 Reviews),Private,"Kolkata,West Bengal + 18 more",19 years old,10k-50k Employees (India)
Quatrro,3.5,(456 Reviews),Private,Gurgaon + 4 more,18 years old,1k-5k Employees (India)
Sintex Industrie...,4.1,(456 Reviews),Public,"Kalol,Gujarat + 51 more",92 years old,5k-10k Employees (India)
Intel,4.3,(460 Reviews),Public,"Santa Clara,California + 18 more",55 years old,10k-50k Employees (India)
Nykaa,3.5,(455 Reviews),Public,"Mumbai,Maharashtra + 48 more",11 years old,1k-5k Employees (India)
Westside,4.2,(454 Reviews),Private,Mumbai + 74 more,25 years old,5k-10k Employees (India)
Prodapt Solution...,3.9,(454 Reviews),Private,"Chennai,Tamil Nadu + 7 more",2023 years old,1k-5k Employees (India)
bnp paribas indi...,4.0,(454 Reviews),Paris + 7 more,175 years old,10k-50k Employees (India),
Ingram Micro,4.0,(498 Reviews),Private,"Irvine,California + 38 more",44 years old,1k-5k Employees (India)
Anchor Electrica...,4.1,(453 Reviews),Private,"Mumbai,Maharashtra + 68 more",60 years old,5k-10k Employees (India)
Brillio,3.7,(452 Reviews),Private,"Santa Clara,California + 7 more",9 years old,1k-5k Employees (India)
IFFCO,4.0,(1.5k Reviews),Private,"Delhi/NCR,Delhi + 62 more",56 years old,1k-5k Employees (India)
Cult.fit,3.8,(451 Reviews),Private,"Bangalore,Karnataka + 28 more",7 years old,1k-5k Employees (India)
OMICS Internatio...,2.8,(463 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",16 years old,51-200 Employees (India)
Kalpataru Group,3.7,(450 Reviews),Private,"Mumbai,Maharashtra + 44 more",54 years old,1k-5k Employees (India)
Rallis India,4.3,(449 Reviews),Public,"Mumbai,Maharashtra + 70 more",75 years old,1k-5k Employees (India)
Asirvad Microfin...,3.9,(449 Reviews),Private,"Chennai,Tamil Nadu + 135 more",16 years old,5k-10k Employees (India)
PayPal,4.2,(449 Reviews),Private,"San Jose,California + 6 more",25 years old,1k-5k Employees (India)
Amazon Logistics,4.3,(449 Reviews),Hyderabad/Secunderabad + 80 more,1 Lakh+ Employees (India),,
AIIMS,4.2,(448 Reviews),"Delhi/NCR,New Delhi + 34 more",67 years old,5k-10k Employees (India),
Hitachi Payment ...,3.9,(448 Reviews),Private,"Mumbai,Maharashtra + 28 more",15 years old,1k-5k Employees (India)
Eris Lifescience...,4.0,(448 Reviews),Public,"Ahmedabad,Gujarat + 63 more",16 years old,1k-5k Employees (India)
Jaya Hind Indust...,3.7,(508 Reviews),Public,"Pune,Maharashtra + 14 more",76 years old,1k-5k Employees (India)
Xyz Company,3.8,(447 Reviews),Mumbai + 67 more,50k-1 Lakh Employees (India),,
EMERSON PROCESS ...,3.9,(711 Reviews),Public,"St. Louis,Missouri + 24 more",133 years old,1k-5k Employees (India)
Future Lifestyle...,4.3,(446 Reviews),Public,"Mumbai,Maharashtra + 52 more",11 years old,5k-10k Employees (India)
Sl Lumax,3.4,(446 Reviews),Public,"Sriperumbudur,Tamil Nadu + 11 more",26 years old,1k-5k Employees (India)
Power Grid Corpo...,4.6,(446 Reviews),Private,"Gurgaon/Gurugram,Haryana + 125 more",34 years old,5k-10k Employees (India)
Educomp Solution...,3.5,(446 Reviews),Public,"Gurgaon/Gurugram,Haryana + 106 more",29 years old,11-50 Employees (India)
Renew Solar Powe...,4.3,(446 Reviews),Private,Gurgaon + 42 more,12 years old,1k-5k Employees (India)
Primus Global Te...,4.4,(445 Reviews),Private,"Irving,Texas + 22 more",21 years old,11-50 Employees (India)
Kotak Mahindra P...,4.0,(445 Reviews),Public,"Mumbai,Maharashtra + 80 more",27 years old,10k-50k Employees (India)
Signify,3.9,(445 Reviews),Amsterdam + 57 more,93 years old,1k-5k Employees (India),
Gayatri Projects,3.9,(444 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 62 more",60 years old,1k-5k Employees (India)
Omaxe,3.9,(444 Reviews),Public,"Delhi/NCR,New Delhi + 19 more",34 years old,1k-5k Employees (India)
Innodata Isogen,3.0,(444 Reviews),Private,"New Jersey,New Jersey + 6 more",26 years old,1k-5k Employees (India)
GSK Pharmaceutic...,4.3,(444 Reviews),Middlesex + 75 more,193 years old,1k-5k Employees (India),
OLX,4.1,(443 Reviews),Private,"Gurgaon,Haryana + 38 more",17 years old,1k-5k Employees (India)
Knight Frank,4.2,(443 Reviews),Private,London + 34 more,127 years old,501-1k Employees (India)
Isuzu Motors,3.8,(443 Reviews),Private,Tokyo + 21 more,11 years old,501-1k Employees (India)
IDFC FIRST Bhara...,4.2,(442 Reviews),Tiruchirappalli + 165 more,7 years old,5k-10k Employees (India),
Samsung Research,3.4,(442 Reviews),Private,Seocho-gu + 7 more,54 years old,1k-5k Employees (India)
SoftAge Informat...,4.2,(442 Reviews),Private,"Gurgaon/Gurugram,Haryana + 124 more",29 years old,1k-5k Employees (India)
Incedo,4.0,(442 Reviews),Private,"Iselin,New Jersey + 8 more",12 years old,1k-5k Employees (India)
Temenos,3.3,(441 Reviews),Private,"Geneva,Switzerland + 6 more",30 years old,1k-5k Employees (India)
ICA Edu Skills,3.8,(441 Reviews),Private,"Kolkata,West Bengal + 89 more",24 years old,1k-5k Employees (India)
Advik Hi Tech,3.6,(441 Reviews),Private,"Pune,Maharashtra + 16 more",23 years old,1k-5k Employees (India)
Ebix Software In...,3.4,(440 Reviews),Public,"Atlanta,Georgia + 27 more",47 years old,1k-5k Employees (India)
T.v. Sundram Iye...,4.0,(12.9k Reviews),"Chennai,Tamil Nadu + 73 more",112 years old,1k-5k Employees (India),
Ihg Group,4.2,(876 Reviews),Private,"Gurgaon/Gurugram,Haryana + 33 more",20 years old,5k-10k Employees (India)
Adani Solar,4.0,(438 Reviews),Public,Ahmedabad + 25 more,8 years old,1k-5k Employees (India)
Bioclinica,3.2,(438 Reviews),Private,"Princeton,New Jersey + 5 more",15 years old,1k-5k Employees (India)
Shilpa Medicare,3.6,(438 Reviews),Public,"Raichur,Karnataka + 19 more",36 years old,1k-5k Employees (India)
FIITJEE,3.7,(437 Reviews),Private,"Delhi,NCT + 42 more",31 years old,1k-5k Employees (India)
First Advantage,3.8,(437 Reviews),Private,"Atlanta,Georgia + 12 more",20 years old,1k-5k Employees (India)
Biba Apparels,4.0,(436 Reviews),Private,Gurgaon + 66 more,37 years old,1k-5k Employees (India)
VA Tech Wabag,4.0,(436 Reviews),Public,"Chennai,Tamil Nadu + 36 more",99 years old,1k-5k Employees (India)
Bses Rajdhani Po...,3.8,(634 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",22 years old,5k-10k Employees (Global)
Raychem RPG,4.1,(435 Reviews),Private,"Mumbai,Maharashtra + 21 more",34 years old,501-1k Employees (India)
RAMTeCH Software...,3.8,(435 Reviews),Private,"Noida,Uttar Pradesh + 26 more",31 years old,1k-5k Employees (India)
Collins Aerospa...,3.9,(535 Reviews),Private,"Charlotte,North Carolina + 3 more",5 years old,1k-5k Employees (India)
Wipro Infrastruc...,3.8,(434 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",47 years old,1k-5k Employees (India)
Uttam Galva Stee...,4.0,(434 Reviews),Public,"Mumbai,Maharashtra + 18 more",38 years old,1k-5k Employees (India)
AuthBridge Resea...,3.6,(434 Reviews),Private,"Gurgaon,Haryana + 11 more",18 years old,501-1k Employees (India)
Nityo Infotech,3.4,(433 Reviews),Private,Plainsboro New Jersey + 23 more,17 years old,501-1k Employees (India)
Accel Frontline,3.8,(433 Reviews),Private,"Chennai,Tamil Nadu + 57 more",32 years old,51-200 Employees (India)
ACTE,4.8,(433 Reviews),"Chennai,Tamil Nadu + 8 more",12 years old,1-10 Employees (India),
Lumina Datamatic...,3.6,(433 Reviews),Private,"Mumbai,Maharashtra + 8 more",48 years old,1k-5k Employees (India)
General Motors,4.3,(647 Reviews),Private,"Detroit,Michigan + 26 more",27 years old,5k-10k Employees (India)
Quikr,3.8,(575 Reviews),Private,"Bangalore,Karnataka + 22 more",15 years old,1k-5k Employees (India)
Bitwise Solution...,4.5,(432 Reviews),Private,"Schaumburg,Chicago + 1 more",27 years old,501-1k Employees (India)
Sharda Motor Ind...,3.8,(432 Reviews),Public,"Delhi/NCR,Delhi + 20 more",37 years old,1k-5k Employees (India)
Alshaya Group,3.9,(432 Reviews),Private,"Kuwait City,Kuwait + 20 more",133 years old,501-1k Employees (India)
Echobooom Manage...,3.9,(451 Reviews),Private,"Mumbai,Maharashtra + 18 more",3 years old,201-500 Employees (India)
Svatantra Microf...,4.3,(431 Reviews),Private,"Mumbai,Maharashtra + 168 more",11 years old,1k-5k Employees (India)
H.G. Infra Engin...,4.3,(431 Reviews),Public,"Jaipur,Rajasthan + 48 more",20 years old,1k-5k Employees (India)
GE Healthcare,4.2,(431 Reviews),Private,Chicago + 22 more,29 years old,1k-5k Employees (India)
Saud Bahwan Grou...,3.4,(431 Reviews),Private,Muscat + 16 more,48 years old,201-500 Employees (India)
Skipper,3.7,(430 Reviews),Public,"Kolkata,West Bengal + 42 more",42 years old,1k-5k Employees (India)
Vivanta by Taj,4.2,(430 Reviews),Private,"Gurgaon/Gurugram,Haryana + 35 more",13 years old,1k-5k Employees (India)
Amphenol Interco...,4.2,(429 Reviews),Private,"Pune,Maharashtra + 7 more",51 years old,51-200 Employees (India)
Test Yantra Soft...,3.8,(429 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,1k-5k Employees (India)
Amway India Ente...,4.2,(429 Reviews),Private,"Ada Township,Michigan + 71 more",28 years old,501-1k Employees (India)
Indo Autotech,4.0,(429 Reviews),Private,"Faridabad,Haryana + 21 more",49 years old,1k-5k Employees (India)
ZUVENTUS HEALTHC...,4.0,(428 Reviews),Private,"Mumbai,Maharashtra + 53 more",21 years old,1k-5k Employees (India)
Lea Associates S...,4.3,(428 Reviews),Private,"Delhi/NCR,Delhi + 90 more",30 years old,201-500 Employees (India)
Zydus Wellness,3.0,(427 Reviews),Public,Ahmedabad + 60 more,35 years old,1k-5k Employees (India)
Sandhar Technolo...,3.9,(426 Reviews),Public,"Gurgaon/Gurugram,Haryana + 20 more",36 years old,1k-5k Employees (India)
More Supermarket...,3.8,(426 Reviews),Mumbai + 77 more,16 years old,10k-50k Employees (India),
KFintech,3.7,(425 Reviews),Hyderabad + 24 more,6 years old,5k-10k Employees (India),
Engineers India,4.4,(424 Reviews),Public,"Delhi/NCR,New Delhi + 41 more",58 years old,1k-5k Employees (India)
Epicenter Techno...,3.6,(424 Reviews),Private,"Mumbai,Maharashtra + 5 more",22 years old,1k-5k Employees (India)
Vijaya Diagnosti...,4.0,(424 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 25 more",42 years old,501-1k Employees (India)
Evision Technose...,4.7,(424 Reviews),Private,"Delhi/NCR,Delhi + 57 more",11 years old,11-50 Employees (India)
CreditAccess Gra...,4.4,(423 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 126 more",24 years old,10k-50k Employees (India)
T-Systems,4.1,(423 Reviews),Public,Frankfurt + 5 more,7 years old,1k-5k Employees (India)
Central Industri...,4.5,(423 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 55 more",54 years old,1 Lakh+ Employees (India)
Pratap Technocra...,3.9,(422 Reviews),Private,"Jaipur,Rajasthan + 78 more",25 years old,501-1k Employees (India)
Government of In...,4.1,(3k Reviews),Govt Organisation,New Delhi + 106 more,73 years old,1 Lakh+ Employees (India)
Electrotherm,4.3,(421 Reviews),Public,"Ahmedabad,Gujarat + 21 more",40 years old,1k-5k Employees (India)
Deepak Fertilis...,3.8,(421 Reviews),Public,"Pune,Maharashtra + 34 more",44 years old,1k-5k Employees (India)
Progressive Info...,3.7,(420 Reviews),Private,"Noida,Uttar Pradesh + 43 more",25 years old,501-1k Employees (India)
Dodsal Engineeri...,4.4,(420 Reviews),Conglomerate,"Dubai,Dubai + 30 more",40 years old,501-1k Employees (India)
McDermott Intern...,4.3,(420 Reviews),Public,"Houston,Texas + 21 more",100 years old,1k-5k Employees (India)
BASF,4.5,(551 Reviews),Private,Ludwigshafen + 60 more,80 years old,10k-50k Employees (India)
GKN,4.1,(516 Reviews),Private,"Redditch,Worcestershire + 20 more",38 years old,1k-5k Employees (India)
Encore Capital G...,4.1,(418 Reviews),Private,"San Diego,California + 1 more",70 years old,1k-5k Employees (India)
Rico Auto Indust...,3.9,(418 Reviews),Public,"Gurgaon/Gurugram,Haryana + 18 more",40 years old,1k-5k Employees (India)
Thriveni Earthmo...,3.9,(416 Reviews),Private,"Salem,Tamil Nadu + 27 more",32 years old,5k-10k Employees (India)
Micro Turners,3.7,(415 Reviews),Private,"Panchkula,Haryana + 31 more",54 years old,51-200 Employees (India)
Integreon,3.6,(415 Reviews),Private,"Fargo,North Dakota + 6 more",23 years old,1k-5k Employees (India)
LifeCell Interna...,3.7,(415 Reviews),Private,"Chennai,Tamil Nadu + 59 more",19 years old,1k-5k Employees (India)
Turbo Energy,4.2,(415 Reviews),Private,"Chennai,Tamil Nadu + 15 more",40 years old,1k-5k Employees (India)
Lowe's,4.3,(415 Reviews),Private,Mooresville + 3 more,77 years old,1k-5k Employees (India)
Aditya Birla Fin...,4.0,(415 Reviews),Private,"Mumbai,Maharashtra + 78 more",11 years old,10k-50k Employees (India)
Holiday Inn,4.2,(415 Reviews),Private,"Memphis,Buckinghamshire + 42 more",71 years old,1k-5k Employees (India)
Glorious Insight,4.9,(415 Reviews),Noida + 1 more,11-50 Employees (India),,
Ups Logistics,4.2,(500 Reviews),Private,"Atlanta,Georgia + 27 more",116 years old,1k-5k Employees (India)
Union Bank of In...,3.9,(414 Reviews),Public,"Mumbai,Maharashtra + 83 more",104 years old,50k-1 Lakh Employees (India)
City Union Bank,3.4,(413 Reviews),Public,"Thanjavur,Tamil Nadu + 88 more",119 years old,1k-5k Employees (India)
CMS Computers Li...,3.7,(413 Reviews),Private,Mumbai + 50 more,47 years old,1k-5k Employees (India)
Neeyamo Enterpri...,3.8,(413 Reviews),Private,"Chennai,Tamil Nadu + 5 more",14 years old,1k-5k Employees (India)
Mount Litera Zee...,4.0,(413 Reviews),Private,Mumbai + 98 more,29 years old,1k-5k Employees (India)
Muthoot Microfin,4.3,(413 Reviews),Private,"Ernakulam,Kerala + 129 more",8 years old,5k-10k Employees (India)
Zydus Lifescienc...,4.2,(4.7k Reviews),Public,"Ahmedabad,Gujarat + 48 more",71 years old,10k-50k Employees (India)
PUMA,4.3,(412 Reviews),Private,"Herzogenaurach,Herzogenaurach + 60 more",75 years old,1k-5k Employees (India)
Ameriprise Finan...,4.1,(412 Reviews),Private,"Minneapolis,Minnesota + 6 more",129 years old,1k-5k Employees (India)
Orient Craft,4.1,(411 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",47 years old,10k-50k Employees (India)
India Japan Ligh...,4.1,(411 Reviews),Private,"Chennai,Tamil Nadu + 18 more",27 years old,501-1k Employees (India)
Dimension Data,4.0,(411 Reviews),Private,"Bryanston,Johannesburg + 46 more",40 years old,1k-5k Employees (India)
Rentokil Pest Co...,3.9,(411 Reviews),Private,"Mumbai,Maharashtra + 84 more",69 years old,501-1k Employees (India)
Shaktiman Tirth ...,4.2,(411 Reviews),Private,"Rajkot,Gujarat + 30 more",26 years old,1k-5k Employees (India)
Ag Industries,4.0,(410 Reviews),Private,"Delhi/NCR,New Delhi + 18 more",32 years old,201-500 Employees (India)
Bikanervala,4.0,(409 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",73 years old,1k-5k Employees (India)
Border Security ...,4.5,(409 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 59 more",58 years old,1 Lakh+ Employees (India)
NSB Bpo Solution...,3.2,(409 Reviews),Private,"Bhopal,Madhya Pradesh + 71 more",30 years old,1k-5k Employees (India)
Jyothy Laborator...,4.3,(409 Reviews),Private,"Mumbai,Maharashtra + 89 more",40 years old,1k-5k Employees (India)
DM Consultants,1.2,(409 Reviews),Abu Dhabi + 13 more,,,
CNH Industrial,4.2,(817 Reviews),Public,London + 43 more,10 years old,1k-5k Employees (India)
TDK India,4.0,(408 Reviews),Private,Nashik + 19 more,2023 years old,1k-5k Employees (India)
Akal Information...,4.2,(408 Reviews),Private,"Delhi/NCR,New Delhi + 26 more",24 years old,501-1k Employees (India)
ANZ Banking Grou...,4.1,(674 Reviews),"Melbourne,Victoria + 11 more",16 years old,1k-5k Employees (India),
Somany Ceramics,4.2,(407 Reviews),Public,"Noida,Uttar Pradesh + 50 more",55 years old,1k-5k Employees (India)
Inox Wind,3.4,(407 Reviews),Public,"Noida,Uttar Pradesh + 33 more",14 years old,501-1k Employees (India)
Linde India,4.1,(407 Reviews),Public,Pullach + 36 more,144 years old,1k-5k Employees (India)
Netscribes,3.2,(407 Reviews),Private,"New York,New York + 3 more",23 years old,1k-5k Employees (India)
Baxter Internati...,4.2,(610 Reviews),Private,"Deerfield,Illinois + 25 more",27 years old,1k-5k Employees (India)
Rohan Builders,4.2,(406 Reviews),Private,"Pune,Maharashtra + 37 more",30 years old,1k-5k Employees (India)
Care Hospital,4.2,(406 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 29 more",26 years old,1k-5k Employees (India)
Tata Consumer Pr...,4.1,(498 Reviews),Public,"Mumbai,Maharashtra + 93 more",61 years old,1k-5k Employees (India)
McNally Bharat E...,4.1,(466 Reviews),Public,"Kolkata,West Bengal + 42 more",62 years old,1k-5k Employees (India)
TCNS Clothing Co...,4.2,(447 Reviews),Public,"Delhi/NCR,Delhi + 72 more",22 years old,501-1k Employees (India)
Fleetguard Filte...,4.0,(409 Reviews),Private,"Pune,Maharashtra + 53 more",36 years old,50k-1 Lakh Employees (India)
H&M,4.1,(405 Reviews),Private,"Stockholm,Stockholm + 30 more",76 years old,1k-5k Employees (India)
Webhelp,4.1,(405 Reviews),Private,Paris + 8 more,23 years old,1k-5k Employees (India)
Tata Hitachi Con...,4.1,(405 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 50 more",24 years old,1k-5k Employees (India)
Ashirvad Pipes,4.1,(405 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 60 more",48 years old,1k-5k Employees (India)
MattsenKumar,3.6,(405 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",13 years old,1k-5k Employees (India)
Infinx,3.6,(404 Reviews),Private,"Mumbai,Maharashtra + 17 more",11 years old,1k-5k Employees (India)
Parag Milk Foods,3.9,(403 Reviews),Public,"Mumbai,Maharashtra + 46 more",31 years old,1k-5k Employees (India)
ValueMomentum,3.7,(403 Reviews),Private,"Piscataway,New Jersey + 5 more",23 years old,1k-5k Employees (India)
Aisin Automotive...,4.0,(403 Reviews),"Gurgaon/Gurugram,Haryana + 15 more",12 years old,201-500 Employees (India),
Diebold Nixdorf,4.1,(403 Reviews),Private,"North Canton,Ohio + 34 more",31 years old,1k-5k Employees (India)
Times Group,3.8,(704 Reviews),Private,"Mumbai,Maharashtra + 40 more",185 years old,5k-10k Employees (India)
Guardian India,4.2,(402 Reviews),Private,"New York,NY + 5 more",163 years old,1k-5k Employees (India)
Creambell,4.0,(402 Reviews),Private,"Baddi,Himachal Pradesh + 66 more",32 years old,201-500 Employees (India)
BEML,4.0,(402 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",59 years old,5k-10k Employees (India)
